X1_FCVC,X2_NCP,X3_CH2O,X4_FAF,X5_TUE
2.71897,1.473088,1.164644,1.235675,0.930926
3,1,1.848703,0,0.744555
1.133844,3,1.325326,0.227985,1.708309
2,3.16645,2.278578,1.838881,2
1.757466,3,1.153559,0.833976,1.616045
2,3.494849,2.976672,1.94907,2
2.979383,3,2.975887,0.945093,1.241755
3,2.99321,2.702783,1.967234,0
2.204914,2.127797,2.120292,0.995735,0
3,3,2.949419,1.295697,0
2.927218,1,1,0,0.276592
2.88853,1,1,0,0.196224
2.890535,3.90779,1.109115,1.548953,0.555468
3,3.699594,2.825629,1.699592,0.071028
3,3.179995,1.910378,0.480614,0.625079
2,1.075553,1,0.127425,1.679442
2.530066,3,1.965237,2,1
2.241606,3,1.846626,2.460238,0.814518
1.003566,3.238258,1.014634,0.783676,1
2.652779,3.804944,1.60114,0.174692,0.096982
2,1.630846,2.975528,0.548991,0.369134
2.897899,3,1.835545,1.162519,1
2.483979,3.762778,2,2,0.930051
2.945967,3,2.953192,2.830911,1.466667
2,4,2.28525,2,1.162801
2.478891,3.371832,2.004126,2,0.327376
2.784464,4,1,2,1
1.005578,4,1,1.683957,0.704978
2.938031,2.705445,1.333807,1.877369,0.370973
2.842102,3.34175,2,2.511157,0.560351
2,3,2.685842,0.373186,2
2,3,2,0,1.525597
1.889199,2.217651,2.013605,2.075293,1.683261
3,4,2,2,0
2.943749,4,2,2,0.128895
2.33998,3,2,0.027433,1.884138
3,2.893778,1,0.769726,0
3,1,1.954889,0,0.907868
1.950742,3,1.751723,0.201136,1.743319
2.277436,3.502604,2.891713,1.696294,1.894902
2,4,2.369627,2,1.612466
2.371338,3.998766,2.263466,2,0.844004
2.984425,3,2.044694,2.008256,1.250871
2.977018,3.193671,2.482933,2,1
2.663421,3,1.04111,0.794402,1.391948
3,1.69608,2.550307,1.098862,0
2.753752,2.812377,2.346647,1.612248,0
3,1.612747,2.566629,1.190465,0
2.318355,1.082304,1.220365,0.033328,0
2.594653,1.882158,1.916812,0.417119,0
2.886157,2.326233,2.306821,1.42237,0
3,3,2.924594,1.352558,0.220087
3,1.989398,2.241607,0.206025,0.284453
3,1.735493,2.318736,1.193486,0.74568
2.967853,1,1.131185,0,0.504176
3,1,1,0,0
3,2.974568,1.145761,0.87967,0
2.619835,1,1.198883,0,0.751212
3,1,1.185062,0,0.076654
3,1,1,0,0
3,3.715118,1.774576,0.10297,0.646423
3,3.489918,1.326694,0.791929,0.128394
1.053534,3.378859,1,1.853425,0.861809
3,3.263201,2.233274,1.557737,0.000355
3,3.994588,2.548527,1.285976,0.267076
2.530233,3.24934,2.387945,1.976341,1.672508
3,3,2,0.854337,1
2.8813,3.087544,1.24818,1.952427,0.427461
2.824559,3,2,0.533309,1.099764
2.762325,1.163666,1.30491,0.25289,1.001405
2.070964,1,1.676975,0,1.718513
2.68601,1,1.310074,0,1.0647
2.794197,3.409363,1.543021,2,1
2.720701,3,2,1.862235,1
2.880792,3.281391,1.960131,1.513029,1
2.674431,3,2.453384,1.321624,1.990617
2,3.98525,2.654078,2.113151,2
2.55996,3,1.990788,0.486006,1.561272
1.212908,3.207071,1.029703,2,1
1.140615,3.471536,1,2,1
2.562409,3.488342,1.67062,2,1
2.004146,3.443456,2.020764,1.078719,1.26729
2.690754,3.03779,2.212296,1.616882,0
3,3.642802,1.995177,0.118271,0.065515
2.051283,2.645858,2.35752,0.291309,0.897942
2.19005,3.420618,1.356405,1.351996,0.98468
2.21498,2.64155,2.121251,0.998391,0.85882
2.91548,3,1.777486,1.077469,1
2.708965,3,1.873004,1.21718,1
2.853513,3,2,0.680464,1.258881
2.580872,3.887906,2,2,0.453649
2.508835,3.435905,2.076933,2.026668,1.443328
2,3.747163,2.575535,2,1.84383
2.896562,2.625475,2.839558,1.949667,1.253311
2.911877,3.098399,2.196405,2.328147,1.55011
2.910733,3.12544,2.204263,2.407906,1.403037
2.966126,3.96981,2,2.000088,0.378619
2.613249,3.712183,2,2.002997,0.174848
2,4,2.542415,2,1.807465
3,3,2.00357,1.25955,0.417116
2.627031,3.832911,2.993448,2,1.425903
3,3,2.009796,2,0.071317
2.919751,3.576103,1.949308,1.940182,1
2.494451,3.56544,1.491268,1.951027,0.956204
1.69427,3.266644,1.095417,2,1
1.601236,3.433908,1.055019,0.819269,1.030848
1.204855,3.531038,1.134658,2,1
1.052699,3.998618,1,2,1
2.910345,3,1,1.461005,0
2.866383,1.226342,1,0.14495,0
2.913486,1.060796,1.596212,0.108948,0.773087
2.432886,3,2,2.697949,1
2.883745,3.595761,2,2.077653,0.714701
2.707666,3.737914,2.026547,2.009397,0.613971
2.919584,3.697831,1.147121,0.993058,0.08922
2.969205,3.21043,2.765876,0.611037,1.300692
2.486189,3,1.064378,2.206055,1.958089
1.642241,3.45259,1.099231,0.418875,1
1.567101,3,1.994139,0.107981,1
1.036414,3.205587,1.745959,0.115974,1
1.649974,1.513835,1.549974,0.227802,1.972926
1.118436,3,1.997744,2.432443,1.626194
2.673638,2.779379,1.249074,0.043412,0.403694
2.120185,4,2.582165,2,1.510609
3,3.732126,2,2.000934,0.384662
2.34222,3.937099,2.311791,2.013377,1.128355
2.86099,4,2,2,0.007872
2.559571,3.047959,2,2.011646,0.588994
2.424977,4,2,2,0.03921
1.786841,3,1.546856,0.512094,1.608265
1.303878,3,1.755497,0.062932,1.672532
1.889883,3,1.959531,0.520407,1.151166
2.984004,3,1.015249,1.327833,0
3,2.975362,1.246822,0.979701,0
3,3,2.487919,1.230441,0
3,1,1.49681,0,0.513427
2.749268,1.394539,1.322048,0.463949,0.800993
3,1,1.764055,0,0.560887
1.202075,3,1.927976,0.023574,1.747256
2,3.131032,2.072194,1.487987,2
1.871213,3,1.283738,0.684879,1.487223
2,3,2,0,1
3,3,3,3,0
2,3,2,2,1
2,3,2,0,0
3,3,2,1,0
2,3,2,3,0
3,3,2,1,1
2,3,2,1,1
3,3,3,2,0
3,1,1,1,1
3,3,2,2,1
3,3,2,1,0
2,3,2,0,1
2,4,2,3,2
2,1,2,1,2
2,4,2,2,1
3,3,2,3,1
2,3,2,2,2
2,3,3,1,1
2,4,2,2,0
2,3,1,2,0
2,3,1,1,0
2,3,2,1,1
2,4,2,0,0
1,3,1,0,0
2,3,2,1,1
1,3,2,2,0
1,3,3,2,0
1,3,3,2,0
3,3,2,1,0
2,3,2,0,0
3,3,3,0,1
2,3,1,0,0
3,1,2,2,2
3,3,2,2,1
3,4,3,2,0
2,4,2,0,0
2,3,1,0,1
2,3,1,0,1
3,1,2,1,1
2,3,3,3,1
2,3,2,3,1
2,1,2,0,0
2,3,2,0,2
2,3,1,1,1
2,3,3,0,1
2,3,3,1,0
2,3,3,2,1
2,3,2,0,0
3,3,2,0,0
2,3,2,0,0
2,1,3,1,0
2,3,2,1,0
3,3,2,0,1
3,3,2,1,0
3,3,2,2,0
3,1,2,2,0
2,3,2,3,0
2,3,2,3,1
3,1,1,0,0
2,3,2,0,0
2,4,2,2,0
3,4,2,1,0
2,1,2,2,0
2,1,2,2,0
3,3,2,0,1
2,1,1,0,0
2,4,2,1,0
2,1,2,3,0
3,1,2,1,0
3,3,2,0,1
2,3,2,1,1
3,1,2,1,0
2,3,2,1,0
3,1,3,1,0
3,3,1,0,0
2,4,2,1,1
2,3,1,1,0
3,3,3,1,2
3,3,2,1,1
2,3,2,1,1
3,3,3,3,0
2,3,2,0,1
3,3,2,2,0
3,3,2,2,2
3,3,2,0,0
2,1,2,2,1
3,3,2,2,0
3,1,2,1,1
3,3,1,0,1
2,3,2,2,1
3,3,1,2,1
3,3,2,2,0
3,3,2,3,0
3,3,2,0,0
2,3,2,1,0
3,1,2,1,2
3,3,2,0,1
2,3,2,2,0
3,1,1,1,0
3,3,2,3,0
3,3,2,2,2
2,3,2,1,0
2,3,1,0,0
2,3,2,1,1
2,3,2,1,0
2,1,3,2,1
2,3,2,1,2
2,1,1,1,1
2,3,2,3,2
2,3,2,1,0
2,3,2,1,1
2,3,2,1,1
2,1,1,1,1
3,3,2,1,0
2,3,2,1,0
3,3,3,0,2
3,3,2,3,0
1,1,2,3,0
3,4,3,0,2
3,3,3,1,0
2,3,1,0,1
3,3,2,1,1
3,1,3,0,0
3,3,3,2,0
2,1,2,2,0
2,1,2,2,0
1,3,2,3,0
3,3,1,1,1
3,1,3,1,1
3,3,3,3,1
2,1,3,1,1
1,3,2,0,2
2,1,2,2,0
3,3,3,0,1
3,3,1,3,1
3,3,3,3,0
2,1,2,0,2
3,3,2,0,0
2,3,2,1,1
3,3,3,1,1
2,4,2,0,2
2,3,2,0,1
2,3,1,0,2
2,3,2,2,1
2,3,2,0,0
2,3,1,2,1
3,3,2,0,1
2,4,3,3,2
3,3,2,0,0
3,4,2,0,0
2,3,2,0,0
2,3,1,1,1
2,3,3,2,1
1,1,2,1,1
2,3,1,1,1
2,3,3,3,0
3,3,1,0,2
2,3,3,3,0
2,3,2,2,1
2,3,1,1,1
2,3,2,1,0
2,1,1,0,1
3,3,2,2,1
2,3,1,0,1
2,3,1,0,0
2,4,2,2,1
2,4,2,0,1
1,3,2,0,2
2,1,1,0,2
3,4,3,2,0
2,1,1,0,1
2,3,2,3,1
3,3,1,3,0
1,3,2,1,1
3,3,1,1,0
2,3,2,0,0
3,3,1,2,1
3,4,2,1,1
2,3,1,0,0
3,1,2,1,1
3,3,1,3,1
2,3,2,3,0
2,1,1,1,0
3,3,2,3,0
3,1,3,3,1
2,3,2,2,1
2,1,2,1,0
3,4,3,3,0
2,3,2,0,1
3,3,2,3,2
3,3,2,1,1
2,3,1,0,0
3,3,2,3,0
3,3,2,3,1
3,3,1,2,0
2,3,2,3,2
2,3,1,3,2
3,4,2,2,0
1,3,1,2,2
1,3,2,0,1
2,3,2,1,2
1,3,1,1,1
2,3,2,1,0
2,3,1,1,1
2,1,2,2,1
3,3,2,0,0
2,3,1,1,1
3,3,1,0,2
2,1,2,0,2
2,4,2,2,1
3,3,1,2,0
2,4,2,1,1
3,3,1,2,1
3,3,2,0,2
3,3,1,2,0
2,3,1,0,1
3,1,1,0,2
2,3,2,1,1
1,3,1,1,2
3,3,3,2,2
2,3,1,0,1
3,3,1,2,1
2,4,3,0,0
3,1,1,0,0
2,3,2,1,1
2,3,2,3,1
2,3,2,3,1
3,1,2,0,0
3,1,3,2,1
2,3,2,1,1
2,3,2,1,0
3,3,3,2,1
2,3,2,2,0
2,3,2,2,1
2,3,3,1,1
3,3,2,3,0
3,1,1,2,1
2,3,1,1,0
2,4,2,2,1
3,3,1,2,0
2,3,1,1,1
2,4,2,3,1
2,3,1,0,0
2,1,2,1,0
3,3,2,2,1
2,3,2,0,1
2,3,1,0,0
3,3,1,1,2
2,3,2,0,1
2,1,2,2,0
2,4,1,3,0
3,3,2,2,0
1,3,2,2,2
3,3,2,1,1
2,3,2,1,0
3,3,2,2,1
3,3,1,0,0
3,1,1,1,0
2,3,1,1,1
3,1,2,0,0
2,3,1,0,0
2,3,1,1,1
2,3,1,1,1
2,3,1,2,1
3,4,2,2,0
2,3,1,1,1
3,3,1,1,0
3,3,1,1,0
2,3,2,3,0
1,3,1,1,0
2,3,1,1,0
3,3,1,1,1
2,3,1,1,1
1,4,2,1,2
2,3,1,0,1
3,4,1,2,0
2,1,2,1,1
1,3,2,3,1
2,3,2,1,0
3,3,3,2,1
2,1,1,0,2
2,3,1,1,1
2,3,1,2,0
3,3,2,0,0
3,1,1,0,0
2,3,2,1,1
3,3,2,2,0
2,1,2,0,0
1,4,3,0,1
2,3,2,1,0
1,3,2,0,1
2,3,2,0,0
3,4,3,3,0
2,3,1,0,1
2,3,2,0,2
2,3,2,0,0
2,3,2,1,0
3,1,1,0,0
2,4,3,2,2
2,1,3,1,0
2,1,2,0,0
3,3,3,0,0
2,1,2,1,0
2,1,3,1,0
2,1,3,1,0
2,1,3,1,0
3,3,2,1,0
3,1,2,2,0
3,3,3,3,0
3,3,2,1,1
2,3,3,3,1
2,3,3,1,0
2,3,2,0,2
3,4,3,2,0
3,3,2,3,0
3,1,2,3,0
1,3,2,3,0
2,3,1,1,0
2,3,2,2,0
2,3,2,2,0
3,3,3,1,2
2,3,3,2,1
2,3,1,0,1
2,3,1,0,0
3,4,1,0,0
2,3,2,1,2
3,1,2,1,2
3,1,1,1,0
3,3,2,1,0
2,1,2,2,1
2,3,2,3,1
3,1,2,1,2
1,1,2,0,0
2,3,2,0,0
3,3,1,1,2
3,3,2,0,0
3,3,1,2,0
2,3,1,0,2
2,1,3,3,1
2,4,2,2,1
2,3,3,1,2
2,1,1,0,2
3,3,2,1,0
2,3,1,0,0
2.341133,1.578521,2,2,0.554072
2,1,2.115967,0.770536,0
1.450218,3.985442,2.147746,0.046836,1
2.204914,3.623364,1.815293,0.989316,0
1.206276,3,2.406541,0.94984,0.479221
2,3,1.015677,0,0.37465
2.81646,3.36313,2.722063,3,0.26579
2,3,1.345298,1.097905,1
2,3,1.825629,0.699592,0.142056
2,1.73762,2.207978,2.641072,0.707044
2,3,2,0.345684,1.415536
3,1.146052,1.074048,0.679935,0
1.758394,3.981997,2.174248,0.920476,1.358163
2,1.9154,3,1,0
2,2.105616,1.456581,0,0.9974
2.392665,3,2.951056,0,0.369134
2.577427,1,2,2.287423,0
2,1,2.803311,0.245354,0
2,1,3,1,0
2,1,3,1,0
2.052152,3,1.972074,0.228307,0
3,1,2,2.57223,0
2.954996,3.714833,2.430918,2.545931,0.469735
3,3,2.229171,1.607953,0.628059
2,3,2.843777,2.022315,0.009254
2,3.691226,3,1.228136,0.3352
2,3,2,0,2
2.555401,3.292386,3,2,0.315918
2.108711,3,2.746197,1.910432,0
2.915279,1.104642,1.530046,1.360635,0
1.570089,3,2,2.707882,0
2,3,1.636326,1,0
2,3,1.701835,1.682271,0
1.94313,3.559841,2.367996,0.23553,0.879977
2.714447,3,3,1.096818,1.89388
2,3,2.292073,1.067817,0.19668
2.903545,3,1.549931,0,0.273882
2,3,1,0,1.339232
3,3.654061,1.229915,0.793489,1.597608
1.75375,1.296156,2,0.110174,1.944675
2.543563,1,2,0.694281,1.056911
2.39728,2.656588,2.061062,1.912981,1.887386
3,2.809716,1.591425,0.178023,0
2,2.77684,1.278231,0.55713,1
2.37464,3,2,2.892922,0.480813
2.278644,1,2.628985,1,1.285373
1.620845,1,2,0.926592,1.657098
2,1.999014,2.326165,0.00705,0
2.823179,2.644692,1.226764,0.747528,0.008899
3,2.449723,2,0.479592,1.720642
3,3,1.174611,2,0
2,3,1,0,1.112489
2,2.794156,2.377362,0.101236,0.105895
2.061952,4,2.426465,2,0.160138
2,1.146794,3,1.809745,1.690102
2,1.131695,1.344539,0,1.59257
2.838969,3,2.425927,1,1.453335
2.568063,3,1.817983,0,0
3,3,1.205633,2,0
2.652958,2.488189,2,2,0.096614
2,1,2.00876,0.63119,0
2,1,2.069184,0.729898,0
1.27785,3.999591,2.495944,0.00342,1
2,3,1.957871,0.994592,0.117303
1.729824,3.612941,2.043703,0.562118,0.426643
1.452524,3.950553,2.109858,0.508847,1.194633
2,3,2.177386,0.336814,0.004813
2,3,2.168651,0.977998,0.142638
3,2.951837,2.112032,0.378683,0
2,2.799979,1.081333,0.444347,1
2,3,1.005727,0,0.798219
2,3,2,0.129163,1.983678
2,3,2,0,2
2,2.228113,2.045004,1.293665,0.961806
2.303367,3.042774,1.277636,0.944982,0.366126
2.948425,1.198643,1,0,0.173796
2.291846,1.555557,1,0,0.388271
1.906194,3.987707,2.597746,1.922234,1.376124
1.834155,3.995957,2.632871,1.236114,1.980875
2,1,3,1,0
2.048582,1.047197,2,0.15136,0.22596
2.948248,3,2.429911,0.11964,0.360193
2.869436,3,2.972426,2.16079,0.305954
2.293705,1,2,2.063943,0
2.510583,1,2,2.119682,0
2,1,3,1,0
2,1,3,1,0
2,1,3,1,0
2,1,3,1,0
2,1,3,1,0
2.366949,3,1.926577,1.581242,0
2.615788,3,1.771781,0.759422,0.686529
3,1,2,2.315983,0
2.217267,1.193589,2,2,0
3,3,2.759246,1.763277,0.453314
2.801514,3,2.734782,2.207881,0.143675
2.188722,3,2.721356,1.528968,1
2.971351,3.390143,2.133767,2.318492,0.678618
2.086093,3.546352,2.081121,1.993666,0.673835
1.901611,3.266501,2.926995,0.985872,0.307982
1.977298,3.554974,2.217957,0.97812,0.459759
2.446872,2.372311,1.81031,0.094893,1.650778
2.839048,2.10601,1.639202,1.117311,0.967919
2.21232,4,2.374044,2,0.622638
2.427689,3.715306,2.876096,1.815768,0.426465
2.357496,3.376717,2.184843,1.358185,0.014885
3,1,2,2.971832,0
3,1,2,2.877473,0
1.078529,1.211606,2.568063,3,0.817983
2,3,1.333707,1,0
2,3,1.164062,1,0
2,3,2,1.722053,0
1.064162,3.98955,2.028426,0.81517,0.894678
1.993101,3.171082,2.364498,1.224743,0.022245
2.620963,3,2.824559,0.754599,2
2.95118,3,3,2.433918,0.561602
2.021446,3,1.077917,0.523847,0.808599
2,3,1,0,0.018877
2.000466,3,1.131448,0.061366,0
2.5621,3.105007,1.172427,0.184917,0.923082
2,3,1.040342,0.497373,1.783319
2,3,1.274718,0.129902,0.978574
2.96008,1,2,0.736032,1.344072
2.53915,1.590982,1.977801,1.264616,0
2.244142,1.704828,1,0.792929,0.395468
3,2.725012,1.62244,0.902661,0
2,2.372339,1.675733,1.066241,1
2,1.097312,1.328835,1.264257,1
2.253371,3,2.756916,1.016042,0.213437
2.851664,1,2,0.977929,1.765321
1.31415,1.068196,1.364957,0,0.057926
1.321028,1,2,0.371452,0.965604
2,1.411685,1.859089,0,1.306
2.253998,2.752318,2.328331,0.815509,0.024088
2.778079,3,1.696691,0.94224,0.879925
2.838037,2.737571,1.144467,0.753782,1.286844
3,2.973504,2,0.178976,0.166076
2.814453,2.608055,1.85916,2,0.516084
2.013782,2.625942,1.045586,0.553305,0.480214
2,1.411808,2.651194,2.878414,0.953841
2,1.095223,2.474132,2.876696,0.7939
2.459976,3.30846,2.078011,1.779646,0.871772
2.643183,3.821461,2.397124,2.044165,0.471663
2,3,2.813234,0.228753,2
2,2.658639,2.781628,1.955992,1.409198
2.22399,1,2.20312,0.104451,1.899073
2.104105,3,1.871033,1,0
1.972545,2.339614,1.711074,0.095517,1.191053
2.286481,1.713762,1.797161,1.658698,0.926581
2.971588,2.743277,1.394883,2,0.470243
2,1,2.881677,0.915699,0
2,1,2.795651,0.80873,0
2.872121,3.051804,2.111913,0.843709,0.153559
2.109162,3.245148,1.971774,0.989335,0
2.178889,3.563744,1.853991,0.997731,0
1.142468,3,2.197732,0.827506,0.572877
2.047069,3.829101,1.641022,1.554817,0.248218
2.843709,3.058539,1.130079,2.834373,0.044954
2.416044,3.196043,1.352649,0.148628,1.08266
2,3,1.968011,1.072662,0.776758
2.146598,3,2.100112,1.17116,0.833761
2,3,1.362642,0.921268,0.139013
2,1.391778,2.64548,2.685087,0.97554
2,3,2,0.121585,1.967259
2,3,2,0.334579,1.905826
3,1.13715,1.000695,0.261274,0
1.766849,3.322522,2.616285,0.943058,0.256977
1.188089,3.269088,2.039535,0.779686,1.043108
1.910176,2.938135,2.943097,0.997202,0.207922
2,1.259628,3,1,0
2.956671,2.965494,2.868132,0,0.54925
2.002796,3,2.526775,0.271174,0.806069
2.288604,2.845307,2.638164,0,0.990741
2.277077,1,2,1.061743,0
2.138334,1,2,2.269058,0
2,1,2.976177,0.780117,0
2,1,3,1,0
2,1,3,1,0
2,1,3,1,0
2.029634,3,1.827515,0.480206,0
2.048216,3,1.305816,0.170452,0.276806
2.8557,1,2.663861,2.762711,0.783336
2.995599,3.095663,2.568157,2.7243,0.330457
2.987148,3.483449,2.359246,2.060415,0.598999
2,3,2.763573,1.502711,0.127879
2,3.156309,3,1.179592,0.086868
1.887951,3.728377,2.682107,1.123931,0.492528
2.786008,3,2.526193,0.925118,2
2,3,2,0.092344,1.466496
2.342323,3.60885,2.878866,2,0.208323
1.874935,3.370362,2.558773,1.206121,0.271024
2.213135,3,2.046766,2.172546,0
2.273548,2.39007,1.648404,0.874643,1.102696
2.780699,1.101404,1.579207,1.153775,0
1.687569,2.756405,2.079131,2.931527,0.68173
2,3,1.081597,1,0
2,3,1.833055,1,0
2,3,1.281683,1.609801,0
1.989905,3.054899,2.080968,1.107543,0.939726
1.947405,3.118013,2.136159,0.783963,0.88868
2.162519,3,2.152666,1.078074,1.502839
2.923916,3.335876,2.372444,1.305633,0.311436
2.99448,3,1.706568,0.784216,0.150969
2,3,1,0,1.301385
3,3.205009,2.643468,0.998039,1.898139
2.507841,3.648194,1.279756,0.132629,1.82753
1.836554,1.865238,2,0.320209,1.969507
1.773265,2.118153,1.075239,0.085388,1.915191
2.388168,1,1.438018,0.110887,1.165817
2.286146,2.961113,2.657303,1.91108,1.618227
3,2.400943,1.509734,0.167125,0
2,2.870005,1.15031,0.417724,1
2.487167,3,2.396977,0.577063,0.435072
2.185938,1,2.81353,1,1.110222
2.206399,1,2,0.94893,1.772463
1.952987,1,1.334856,0.732276,1.890214
2,1.030416,2.118716,0.529259,0
2.908757,2.696051,1.622827,0.539952,0.001096
2.628791,2.762883,1.512035,0.303722,0.003229
3,2.401341,2,0.663896,1.753745
2.749629,2.298612,2,0.547515,1.619473
1.595746,3.618722,1.274389,1.504003,0.370067
2.885178,2.562895,1.017006,0.588673,0.916291
2.372494,2.849848,1.028538,0.675983,0.303025
2,2.805436,2.122884,0.045651,0.017225
2.153639,3.715148,2.703337,2,0.226097
2.793561,3.788602,2.429059,2.094542,0.393358
2,1.893811,3,1.376229,1.801322
2,1.010319,1.319437,0,1.626456
2.992329,3,2.004908,1,1.405086
2.927409,3,2.209991,1,0.797215
2.706134,2.669766,1.979848,0.445238,0.908836
2,1,2,0,0
2,3,2,2,1
2,1,1,1,0
3,4,1,0,0
2,3,2,3,2
2,1,1,1,0
2,1,2,0,0
2,3,2,2,2
2,3,3,3,0
2,3,1,0,1
1,3,2,0,2
2,3,2,0,2
2,3,3,0,1
2,3,3,0,0
2,3,2,0,0
2,3,2,0,1
3,3,1,2,1
2,3,2,1,1
3,3,3,2,1
1,3,2,0,2
3,3,1,0,0
3,3,3,1,1
2,3,3,2,0
2,1,2,0,0
2,3,2,1,0
3,3,3,2,1
2,3,2,1,2
2,3,1,0,0
2,1,2,2,1
2,1,1,0,0
2,1,2,0,0
2,1,1,1,1
3,3,3,0,0
3,1,2,1,0
2,3,3,1,0
3,1,2,1,1
2,1,3,0,0
2,3,2,1,0
2,3,3,1,0
3,1,1,1,0
3,3,2,0,0
2,3,3,1,1
2,1,2,3,0
2,1,2,0,0
3,3,2,3,1
2,1,3,1,0
3,3,3,3,0
1,3,2,0,1
3,1,2,2,1
3,3,2,3,0
2,3,2,1,0
3,3,2,1,1
2,3,1,1,1
2,1,2,0,0
3,4,2,1,1
2,3,1,0,2
3,3,2,1,0
3,3,1,0,0
2.010684,1.322087,2,0.540397,0.973834
2,2.041558,2.38725,0.813917,0
2,3,2,1.66639,1.443212
2,2.468421,2,2,1
2,2.110937,2.175632,1,0
2.300408,3.071028,1.738959,0.090147,0
2.119643,3.292956,1.723372,0,0.987102
2,3,2,2.936551,1.40913
2,3,2,0.451078,2
2,2.283673,1.970622,1.863258,1.581703
2.901924,1.124977,2.76382,0.8554,0.999183
2,2.9948,1.290979,0.87599,0.85405
2.451009,3,2,2.177243,1.323877
2,2.983297,1.453626,0.32896,0.509396
2.754646,3,2.957821,2.242754,0.786609
2.417635,3,1.937674,1.417035,1
2.512719,3,1.131169,0.095389,1
